time,dir,queue,vehicles,mean_speed
916.0,W,0,1,15.196855720304075
916.0,N,0,2,25.500761292894296
916.0,E,0,2,15.256206699169788
916.0,S,0,5,15.846691155936828
917.0,W,0,2,14.221023641717235
917.0,N,0,1,25.951775511569465
917.0,E,0,1,15.576250502667246
917.0,S,0,7,14.45041526537825
918.0,W,0,2,15.186512016456888
918.0,N,0,1,26.021618479568822
918.0,E,0,2,14.41611556366643
918.0,S,0,7,13.75253930387715
919.0,W,0,3,15.157764125109075
919.0,N,0,1,24.896618479568822
919.0,E,0,2,13.517041767618228
919.0,S,0,5,13.953921088621666
920.0,W,0,3,14.425532692782161
920.0,N,0,2,22.001258425833075
920.0,E,0,2,12.72383071141345
920.0,S,0,5,12.278439912744922
921.0,W,0,4,12.388354372991635
921.0,N,0,1,26.366107923145215
921.0,E,1,2,12.707471472468832
921.0,S,0,4,13.605507820644835
922.0,W,0,3,14.351880237701721
922.0,N,0,1,25.5705054042918
922.0,E,1,3,10.413231423951887
922.0,S,0,4,13.433334392040356
923.0,W,0,2,14.765592721278773
923.0,N,0,1,24.4455054042918
923.0,E,1,3,10.829882952524173
923.0,S,1,5,13.04711045708697
924.0,W,0,2,13.964047076036847
924.0,N,0,1,23.385710473864656
924.0,E,1,3,11.376977567116464
924.0,S,1,5,13.089088812162625
925.0,W,0,3,11.15486483478603
925.0,N,0,1,23.759520829506275
925.0,E,1,3,11.92763775945221
925.0,S,2,6,13.223567548279084
926.0,W,0,3,14.63880852216165
926.0,N,0,1,24.331346021839472
926.0,E,1,3,11.788822305614445
926.0,S,2,6,13.012050644335284
927.0,W,0,3,13.413825650196216
927.0,N,0,2,23.18462054605902
927.0,E,1,3,10.74333153077578
927.0,S,2,7,12.480511599278625
928.0,W,0,2,16.381472038380267
928.0,N,0,2,24.11258097350205
928.0,E,1,2,12.414765847421515
928.0,S,1,8,10.166061545112164
929.0,W,0,3,14.247641069984176
929.0,N,0,2,23.730837040743115
929.0,E,1,2,12.105036669538388
929.0,S,0,7,10.27477172385322
930.0,W,0,3,12.172854900390021
930.0,N,0,2,19.120039064133785
930.0,E,1,2,12.141821370832186
930.0,S,0,7,10.263869365010434
931.0,W,0,3,10.46842656353562
931.0,N,0,2,18.553765205309524
931.0,E,1,2,12.10300847823921
931.0,S,0,8,10.0308702345567
932.0,W,0,3,8.669130858545707
932.0,N,0,1,23.316121458439206
932.0,E,1,3,11.696112748882811
932.0,S,0,8,10.864723492633642
933.0,W,1,5,6.50613471682317
933.0,N,0,1,23.805716842165033
933.0,E,1,3,13.08891124099209
933.0,S,0,7,12.236184013012748
934.0,W,2,5,6.207144406134171
934.0,N,0,1,24.26023983165161
934.0,E,1,3,13.164238528365843
934.0,S,0,7,12.889390784689013
935.0,W,2,6,6.5747981034502025
935.0,N,0,1,24.62706750516319
935.0,E,1,3,13.083221625891625
935.0,S,0,6,16.228586107815836
936.0,W,3,7,8.323318588290793
936.0,N,0,1,25.079362250441967
936.0,E,1,3,13.221441567314589
936.0,S,0,4,16.203284397963564
937.0,W,3,7,7.897485395033161
937.0,N,0,1,25.790993967859926
937.0,E,1,4,13.926446539183427
937.0,S,0,4,16.430395935467807
938.0,W,3,6,6.675112614038311
938.0,N,0,2,24.258264005665133
938.0,E,1,4,13.943586582160252
938.0,S,0,3,16.219329805793873
939.0,W,3,6,6.105689932648449
939.0,N,0,2,25.155448149119206
939.0,E,1,4,13.766127096939645
939.0,S,0,3,16.483395451545412
940.0,W,4,6,4.9747511475287975
940.0,N,0,3,25.373448963074544
940.0,E,1,4,13.836318229408981
940.0,S,0,3,16.228545834304
941.0,W,4,7,5.338703922305351
941.0,N,0,2,25.415785845211268
941.0,E,1,4,13.798414134652749
941.0,S,0,3,16.096114697032604
942.0,W,4,7,4.616151199609915
942.0,N,0,2,23.700894993227582
942.0,E,1,4,13.341676999345474
942.0,S,0,4,14.591282508069247
943.0,W,4,7,4.2987215696633
943.0,N,0,2,23.54183092328189
943.0,E,1,4,12.39596158954691
943.0,S,0,3,14.939706040775299
944.0,W,6,7,1.0931220097549652
944.0,N,0,1,25.520875799512112
944.0,E,1,4,11.291054099921103
944.0,S,0,4,14.091954054590722
945.0,W,5,7,1.3402706151164976
945.0,N,0,1,24.421604457713226
945.0,E,1,4,10.257435061914666
945.0,S,0,3,14.050321252684832
946.0,W,5,8,2.591423332027146
946.0,N,0,1,23.55349834818846
946.0,E,2,4,9.384531958627775
946.0,S,0,3,13.923364895661773
947.0,W,5,8,2.683714239037645
947.0,N,0,0,27.78
947.0,E,0,4,9.185163270512751
947.0,S,0,4,13.4082899574424
948.0,W,4,7,5.4631595403076405
948.0,N,0,1,26.311355065114533
948.0,E,0,2,11.465923513596499
948.0,S,0,4,13.486043485709885
949.0,W,2,7,5.560941341850689
949.0,N,0,1,26.314955311881256
949.0,E,0,2,11.576615410363111
949.0,S,0,5,13.591449123780496
950.0,W,1,6,5.449346039627361
