time,intersection,queue,vehicles,mean_speed,lane_count,lane_configs,bus_count,bus_routes
670,Kulatov_244500424,0,1,59.91,7,L0(s)|L1(s) / L0(s) / L0(s)|L1(s) / L0(s)|L1(s),0,
680,Vefa_244500423,0,2,58.72,11,L0(s)|L1(s)|L2(s) / L0(s)|L1(s) / L0(s)|L1(s)|L2(s) / L0(s)|L1(s)|L2(s),0,
680,Kulatov_244500424,0,2,54.37,7,L0(s)|L1(s) / L0(s) / L0(s)|L1(s) / L0(s)|L1(s),0,
690,Vefa_244500423,0,1,58.91,11,L0(s)|L1(s)|L2(s) / L0(s)|L1(s) / L0(s)|L1(s)|L2(s) / L0(s)|L1(s)|L2(s),0,
690,Kulatov_244500424,1,4,47.7,7,L0(s)|L1(s) / L0(s) / L0(s)|L1(s) / L0(s)|L1(s),0,
700,Vefa_244500423,0,1,59.95,11,L0(s)|L1(s)|L2(s) / L0(s)|L1(s) / L0(s)|L1(s)|L2(s) / L0(s)|L1(s)|L2(s),0,
700,Kulatov_244500424,0,1,53.59,7,L0(s)|L1(s) / L0(s) / L0(s)|L1(s) / L0(s)|L1(s),0,
710,Vefa_244500423,0,1,57.28,11,L0(s)|L1(s)|L2(s) / L0(s)|L1(s) / L0(s)|L1(s)|L2(s) / L0(s)|L1(s)|L2(s),0,
710,Kulatov_244500424,0,0,0,7,L0(s)|L1(s) / L0(s) / L0(s)|L1(s) / L0(s)|L1(s),0,
720,Vefa_244500423,1,2,54.71,11,L0(s)|L1(s)|L2(s) / L0(s)|L1(s) / L0(s)|L1(s)|L2(s) / L0(s)|L1(s)|L2(s),0,
720,Kulatov_244500424,0,0,0,7,L0(s)|L1(s) / L0(s) / L0(s)|L1(s) / L0(s)|L1(s),0,
730,Vefa_244500423,1,2,53.92,11,L0(s)|L1(s)|L2(s) / L0(s)|L1(s) / L0(s)|L1(s)|L2(s) / L0(s)|L1(s)|L2(s),0,
730,Kulatov_244500424,0,0,0,7,L0(s)|L1(s) / L0(s) / L0(s)|L1(s) / L0(s)|L1(s),0,
740,Vefa_244500423,0,1,56.71,11,L0(s)|L1(s)|L2(s) / L0(s)|L1(s) / L0(s)|L1(s)|L2(s) / L0(s)|L1(s)|L2(s),0,
740,Kulatov_244500424,0,1,59.79,7,L0(s)|L1(s) / L0(s) / L0(s)|L1(s) / L0(s)|L1(s),0,
750,Vefa_244500423,1,6,45.38,11,L0(s)|L1(s)|L2(s) / L0(s)|L1(s) / L0(s)|L1(s)|L2(s) / L0(s)|L1(s)|L2(s),0,
750,Kulatov_244500424,0,0,0,7,L0(s)|L1(s) / L0(s) / L0(s)|L1(s) / L0(s)|L1(s),0,
760,Vefa_244500423,1,2,55.66,11,L0(s)|L1(s)|L2(s) / L0(s)|L1(s) / L0(s)|L1(s)|L2(s) / L0(s)|L1(s)|L2(s),0,
760,Kulatov_244500424,0,1,59.75,7,L0(s)|L1(s) / L0(s) / L0(s)|L1(s) / L0(s)|L1(s),0,
770,Vefa_244500423,2,2,52.51,11,L0(s)|L1(s)|L2(s) / L0(s)|L1(s) / L0(s)|L1(s)|L2(s) / L0(s)|L1(s)|L2(s),0,
770,Kulatov_244500424,0,0,0,7,L0(s)|L1(s) / L0(s) / L0(s)|L1(s) / L0(s)|L1(s),0,
780,Vefa_244500423,0,3,58.86,11,L0(s)|L1(s)|L2(s) / L0(s)|L1(s) / L0(s)|L1(s)|L2(s) / L0(s)|L1(s)|L2(s),0,
780,Kulatov_244500424,0,0,0,7,L0(s)|L1(s) / L0(s) / L0(s)|L1(s) / L0(s)|L1(s),0,
790,Vefa_244500423,2,3,48.99,11,L0(s)|L1(s)|L2(s) / L0(s)|L1(s) / L0(s)|L1(s)|L2(s) / L0(s)|L1(s)|L2(s),0,
790,Kulatov_244500424,0,0,0,7,L0(s)|L1(s) / L0(s) / L0(s)|L1(s) / L0(s)|L1(s),0,
800,Vefa_244500423,0,2,56.83,11,L0(s)|L1(s)|L2(s) / L0(s)|L1(s) / L0(s)|L1(s)|L2(s) / L0(s)|L1(s)|L2(s),0,
800,Kulatov_244500424,1,1,45.02,7,L0(s)|L1(s) / L0(s) / L0(s)|L1(s) / L0(s)|L1(s),0,
810,Vefa_244500423,1,2,52.89,11,L0(s)|L1(s)|L2(s) / L0(s)|L1(s) / L0(s)|L1(s)|L2(s) / L0(s)|L1(s)|L2(s),0,
810,Kulatov_244500424,1,1,45.01,7,L0(s)|L1(s) / L0(s) / L0(s)|L1(s) / L0(s)|L1(s),0,
820,Vefa_244500423,1,2,56.03,11,L0(s)|L1(s)|L2(s) / L0(s)|L1(s) / L0(s)|L1(s)|L2(s) / L0(s)|L1(s)|L2(s),0,
820,Kulatov_244500424,0,0,0,7,L0(s)|L1(s) / L0(s) / L0(s)|L1(s) / L0(s)|L1(s),0,
830,Vefa_244500423,1,3,51.43,11,L0(s)|L1(s)|L2(s) / L0(s)|L1(s) / L0(s)|L1(s)|L2(s) / L0(s)|L1(s)|L2(s),0,
830,Kulatov_244500424,0,0,0,7,L0(s)|L1(s) / L0(s) / L0(s)|L1(s) / L0(s)|L1(s),0,
840,Vefa_244500423,0,2,59.66,11,L0(s)|L1(s)|L2(s) / L0(s)|L1(s) / L0(s)|L1(s)|L2(s) / L0(s)|L1(s)|L2(s),0,
840,Kulatov_244500424,0,0,0,7,L0(s)|L1(s) / L0(s) / L0(s)|L1(s) / L0(s)|L1(s),0,
850,Vefa_244500423,0,4,56.45,11,L0(s)|L1(s)|L2(s) / L0(s)|L1(s) / L0(s)|L1(s)|L2(s) / L0(s)|L1(s)|L2(s),0,
850,Kulatov_244500424,0,0,0,7,L0(s)|L1(s) / L0(s) / L0(s)|L1(s) / L0(s)|L1(s),0,
860,Vefa_244500423,0,3,55.03,11,L0(s)|L1(s)|L2(s) / L0(s)|L1(s) / L0(s)|L1(s)|L2(s) / L0(s)|L1(s)|L2(s),0,
860,Kulatov_244500424,0,0,0,7,L0(s)|L1(s) / L0(s) / L0(s)|L1(s) / L0(s)|L1(s),0,
870,Vefa_244500423,1,2,55.28,11,L0(s)|L1(s)|L2(s) / L0(s)|L1(s) / L0(s)|L1(s)|L2(s) / L0(s)|L1(s)|L2(s),0,
870,Kulatov_244500424,0,0,0,7,L0(s)|L1(s) / L0(s) / L0(s)|L1(s) / L0(s)|L1(s),0,
880,Vefa_244500423,0,1,58.31,11,L0(s)|L1(s)|L2(s) / L0(s)|L1(s) / L0(s)|L1(s)|L2(s) / L0(s)|L1(s)|L2(s),0,
880,Kulatov_244500424,0,3,56.87,7,L0(s)|L1(s) / L0(s) / L0(s)|L1(s) / L0(s)|L1(s),0,
890,Vefa_244500423,0,1,59.87,11,L0(s)|L1(s)|L2(s) / L0(s)|L1(s) / L0(s)|L1(s)|L2(s) / L0(s)|L1(s)|L2(s),0,
890,Kulatov_244500424,1,3,45.17,7,L0(s)|L1(s) / L0(s) / L0(s)|L1(s) / L0(s)|L1(s),0,
900,Vefa_244500423,0,0,0,11,L0(s)|L1(s)|L2(s) / L0(s)|L1(s) / L0(s)|L1(s)|L2(s) / L0(s)|L1(s)|L2(s),0,
